ID,Smape,cpuTime,
1000,0.33525126,0,
1001,0.01276331,0.16,
1002,0.4838233,0.07,
1003,0.182911048,0.07,
1004,0.23417519,0.08,
1005,0.16743686,0.07,
1006,0.200669109,0.07,
1007,0.212371298,0.06,
1008,0.172658647,0.06,
1009,0.129080346,0.06,
1010,0.292328356,0.06,
1011,0.178892453,0.06,
1013,0.275897889,0.07,
1014,0.255998099,0.08,
1015,0.125982705,0,
1016,0.373261612,0.06,
1017,0.239210713,0.06,
1018,0.140350054,0,
1019,0.314830347,0.06,
1020,0.233451865,0.06,
1021,0.546815545,0.06,
1022,0.164378455,0.06,
1023,0.327147988,0.06,
1024,0.285182891,0.08,
1025,0.295494393,0.07,
1026,0.377086607,0.07,
1027,0.257574785,0.08,
1028,0.187826621,0.07,
1029,0.189939365,0.07,
1030,0.338696926,0.06,
1031,0.100536256,0.06,
1032,0.155764363,0.06,
1033,0.147155663,0.06,
1034,0.233796665,0.06,
1035,0.166917864,0.06,
1036,0.186754269,0.06,
1037,0.233639936,0.06,
1039,0.190438773,0,
1041,0.506451691,0.12,
1042,0.367095544,0.06,
1043,0.240692327,0,
1044,0.157442922,0.07,
1045,0.529688745,0.08,
1046,0.098889259,0.07,
1047,0.312709764,0.06,
1049,0.212852212,0.06,
1050,0.350763397,0.06,
1051,0.166868997,0.08,
1052,0.240042057,0.08,
1053,0.356105263,0.08,
1054,0.252694844,0.07,
1055,0.207033323,0.08,
1056,0.36597197,0.07,
1057,0.267675101,0.08,
1058,0.209597874,0.07,
1059,0.078997049,0.06,
1060,0.445039082,0.09,
1061,0.184042311,0.06,
1062,0.062066797,0.06,
1063,0.213574903,0.06,
1064,0.043398979,0.06,
1065,0.461664094,0.06,
1067,0.384762163,0.07,
1069,0.143296838,0.02,
1071,0.153297172,0.08,
1072,0.125629443,0.08,
1073,0.196818458,0,
1074,0.281773889,0.06,
1075,0.194067026,0.06,
1076,0.185462865,0.06,
1077,0.109605565,0.06,
1079,0.201617945,0.08,
1081,0.511747865,0.08,
1082,0.116824618,0.07,
1083,0.229336361,0.08,
1084,0.34362528,0.06,
1085,0.30141857,0.07,
1086,0.27893537,0.05,
1087,0.146838411,0.06,
1088,0.41789962,0.06,
1090,0.068590167,0.06,
1091,0.267382966,0.07,
1092,0.042419436,0.08,
1093,0.193187175,0.08,
1095,0.26837773,0.07,
1096,0.254476268,0.06,
1097,0.141096089,0,
1098,0.413621807,0.08,
1099,0.206389817,0.08,
1100,0.170745847,0,
1101,0.211459834,0.06,
1102,0.129067137,0.06,
