ID,Smape,cpuTime,
1000,0.316692999,0.19,
1001,0.259996039,0.31,
1002,0.443348402,0.26,
1003,0.185380065,0.23,
1004,0.194537505,0.22,
1005,0.115813596,0.22,
1006,0.198056504,0.24,
1007,0.192702684,0.27,
1008,0.172344307,0.24,
1009,0.12930158,0.22,
1010,0.693563436,0.22,
1011,0.161285545,0.23,
1013,0.225272234,0.3,
1014,0.214956426,0.27,
1015,0.122256214,0.22,
1016,0.322522437,0.22,
1017,0.223997367,0.22,
1018,0.177536017,0.25,
1019,0.349356374,0.23,
1020,0.213832754,0.22,
1021,0.573054011,0.23,
1022,0.159164448,0.22,
1023,0.27031402,0.23,
1024,0.260538113,0.21,
1025,0.283699845,0.24,
1026,0.271194564,0.24,
1027,0.229472253,0.21,
1028,0.129472866,0.21,
1029,0.149744718,0.25,
1030,0.26809514,0.22,
1031,0.104377542,0.23,
1032,0.126082453,0.24,
1033,0.111745444,0.25,
1034,0.228969288,0.24,
1035,0.450111637,0.22,
1036,0.166273308,0.2,
1037,0.219311654,0.22,
1039,0.164874175,0.24,
1041,0.430991973,0.25,
1042,0.333068715,0.24,
1043,0.245937954,0.24,
1044,0.137921837,0.22,
1045,0.506108161,0.23,
1046,0.095168051,0.23,
1047,0.281915278,0.25,
1049,0.27355008,0.22,
1050,0.342333016,0.24,
1051,0.133020434,0.23,
1052,0.16909049,0.23,
1053,0.323394456,0.21,
1054,0.218860664,0.23,
1055,0.181478424,0.23,
1056,0.366939277,0.27,
1057,0.253947427,0.22,
1058,0.21747272,0.22,
1059,0.068171037,0.25,
1060,0.42108987,0.25,
1061,0.2412644,0.25,
1062,0.065674168,0.22,
1063,0.207530794,0.23,
1064,0.03568145,0.21,
1065,0.412664544,0.22,
1067,0.313823811,0.25,
1069,0.207356333,0.23,
1071,0.141352245,0.22,
1072,0.186963625,0.23,
1073,0.167080713,0.24,
1074,0.305258078,0.22,
1075,0.184362242,0.22,
1076,0.166309791,0.25,
1077,0.112839731,0.24,
1079,0.16653232,0.23,
1081,0.427134245,0.17,
1082,0.186169698,0.25,
1083,0.215634032,0.22,
1084,0.29575464,0.25,
1085,0.296687949,0.25,
1086,0.5392361,0.22,
1087,0.154842742,0.25,
1088,0.383359137,0.22,
1090,0.064932551,0.23,
1091,0.229211187,0.22,
1092,0.887401857,0.23,
1093,0.185927358,0.25,
1095,0.213485122,0.22,
1096,0.51975919,0.23,
1097,0.133602712,0.22,
1098,0.448899493,0.24,
1099,0.15221671,0.26,
1100,0.157309489,0.23,
1101,0.471522842,0.22,
1102,0.146492648,0.22,
1104,0.195938413,0.22,
1105,0.14329289,0.25,
1107,0.393230536,0.25,
1108,0.157328433,0.22,
1109,0.243199335,0.24,
1110,0.20252961,0.22,
1111,0.140624046,0.28,
1112,0.6047044,0.23,
1113,0.433177238,0.21,
1115,0.418720168,0.23,
1116,0.868746872,0.23,
1117,0.168408007,0.22,
1118,0.244409989,0.25,
1119,0.170885585,0.23,
1120,0.567881634,0.24,
1121,0.331878308,0.22,
1122,0.094697758,0.2,
1123,0.171462807,0.25,
1124,0.394673461,0.22,
1126,0.178099296,0.23,
1127,0.974284693,0.24,
1128,0.188362697,0.24,
1130,0.16183519,0.23,
1132,0.16754373,0.23,
1133,0.221505964,0.23,
1136,0.205300733,0.23,
1137,0.273952094,0.22,
1138,0.121626463,0.23,
1139,0.182939171,0.25,
1140,0.32908064,0.23,
1141,0.119484146,0.23,
1142,0.348159341,0.22,
1143,0.30467923,0.23,
1144,0.401818098,0.25,
1146,0.566233587,0.22,
1147,0.257885916,0.22,
1148,0.187239664,0.22,
1150,0.162805272,0.24,
1153,0.211519329,0.22,
1154,0.221407932,0.23,
1155,0.082227424,0.22,
1156,0.164794519,0.21,
1157,0.087459855,0.24,
1160,0.157290557,0.24,
1161,1.325674154,0.23,
1162,0.184208916,0.25,
1163,0.309160979,0.24,
1164,0.15811821,0.25,
1165,0.356711226,0.24,
1167,0.133877974,0.25,
1168,0.075781118,0.22,
1169,0.210251372,0.25,
1170,0.156554568,0.24,
1171,0.441538231,0.24,
1172,0.276958149,0.22,
1174,0.213735363,0.23,
1175,0.329190319,0.23,
1176,0.143487135,0.24,
1177,0.043454034,0.24,
1178,0.137067871,0.23,
1180,0.258094223,0.21,
1181,0.296055298,0.21,
1182,0.071820556,0.22,
1183,0.273510142,0.22,
1184,0.409535553,0.23,
1185,0.231887319,0.25,
1186,0.113308788,0.22,
1188,0.292323491,0.22,
1189,0.125984416,0.22,
1191,0.652446202,0.21,
1195,2,0.22,
1196,0.27406933,0.25,
1197,0.112026719,0.24,
1198,0.281721132,0.25,
1199,0.098544433,0.21,
1200,0.187928506,0.22,
1201,0.35523817,0.22,
1202,0.160772695,0.24,
1203,0.307705235,0.24,
1204,0.369940524,0.24,
1205,0.309856892,0.22,
1207,0.252423617,0.25,
1208,0.508395582,0.21,
1209,0.259070823,0.23,
1210,0.228870521,0.23,
1212,0.320549185,0.24,
1214,0.500209703,0.25,
1215,0.114957052,0.22,
1216,0.369605924,0.3,
1217,0.141166247,0.24,
1218,0.122394886,0.23,
1219,0.801499877,0.25,
1220,0.546766372,0.27,
1222,0.169149895,0.27,
1223,0.572986695,0.23,
1224,0.216810605,0.23,
1225,0.144003464,0.23,
1226,0.593822176,0.22,
1227,0.146745846,0.23,
1228,0.055984047,0.24,
