ID,Smape,cpuTime,
1000,0.355078476,0.02,
1001,0.291189799,0.19,
1002,0.445912162,0.1,
1003,0.207811953,0.08,
1004,0.202286622,0.08,
1005,0.128771128,0.08,
1006,0.172655477,0.1,
1007,0.22426085,0.08,
1008,0.20325289,0.07,
1009,0.126482489,0.08,
1010,0.729479037,0.09,
1011,0.186843174,0.09,
1013,0.276661027,0.14,
1014,0.231883839,0.09,
1015,0.118040581,0.08,
1016,0.333012615,0.08,
1017,0.222710727,0.07,
1018,0.126203418,0.08,
1019,0.312056255,0.09,
1020,0.218480263,0.08,
1021,0.604547677,0.11,
1022,0.179330002,0.08,
1023,0.295074045,0.09,
1024,0.246112757,0.08,
1025,0.260522139,0.08,
1026,0.305121271,0.08,
1027,0.257731883,0.09,
1028,0.158267323,0.08,
1029,0.172873526,0.08,
1030,0.254125224,0.08,
1031,0.093042409,0.08,
1032,0.131954873,0.07,
1033,0.134267864,0.08,
1034,0.225691877,0.09,
1035,0.636637444,0.08,
1036,0.170884944,0.1,
1037,0.219263738,0.08,
1039,0.16571249,0.09,
1041,0.449176351,0.07,
1042,0.349259332,0.1,
1043,0.264137868,0.08,
1044,0.149031123,0.08,
1045,0.499816631,0.07,
1046,0.104557341,0.08,
1047,0.310022448,0.07,
1049,0.230823657,0.08,
1050,0.29093874,0.08,
1051,0.165354052,0.11,
1052,0.187715207,0.1,
1053,0.288719302,0.09,
1054,0.243709005,0.1,
1055,0.235407423,0.09,
1056,0.397008457,0.09,
1057,0.27711308,0.11,
1058,0.197198918,0.11,
1059,0.08379706,0.08,
1060,0.42759739,0.08,
1061,0.302893112,0.08,
1062,0.059266861,0.08,
1063,0.225491874,0.08,
1064,0.039851469,0.1,
1065,0.443681339,0.09,
1067,0.352398444,0.1,
1069,0.088251945,0.09,
1071,0.126424507,0.08,
1072,0.188082877,0.08,
1073,0.189027723,0.08,
1074,0.298048371,0.08,
1075,0.178786321,0.08,
1076,0.191330586,0.08,
1077,0.101424358,0.08,
1079,0.182391091,0.08,
1081,0.478709794,0.08,
1082,0.198260561,0.09,
1083,0.221516166,0.09,
1084,0.293080671,0.08,
1085,0.328498855,0.08,
1086,0.246598784,0.08,
1087,0.167821172,0.08,
1088,0.388204956,0.08,
1090,0.068002933,0.08,
1091,0.260611426,0.08,
1092,0.907968829,0.08,
1093,0.198195684,0.1,
1095,0.369363045,0.07,
1096,0.570503625,0.08,
1097,0.143365805,0.08,
1098,0.463646481,0.08,
1099,0.201118243,0.08,
1100,0.16710321,0.08,
1101,0.090745659,0.08,
1102,0.219177854,0.08,
1104,0.300894096,0.08,
1105,0.190634099,0.08,
1107,0.411479321,0.07,
1108,0.157816151,0.07,
1109,0.269666831,0.08,
1110,0.250230415,0.08,
1111,0.165075599,0.09,
1112,0.671103888,0.06,
1113,0.402324364,0.09,
1115,0.435881851,0.1,
1116,0.958924172,0.1,
1117,0.201858981,0.1,
1118,0.247791107,0.09,
1119,0.157124832,0.07,
1120,0.631115937,0.1,
1121,0.278254911,0.08,
1122,0.097950223,0.1,
1123,0.173562248,0.08,
1124,0.402383405,0.08,
1126,0.174415324,0.08,
1127,0.724698868,0.09,
1128,0.164061793,0.07,
1130,0.184401648,0.08,
1132,0.171609545,0.08,
1133,0.208676657,0.08,
1136,0.202590851,0.08,
1137,0.305741561,0.07,
1138,0.118087101,0.1,
1139,0.169119852,0.08,
1140,0.336550034,0.11,
1141,0.104184274,0.09,
1142,0.486393272,0.08,
1143,0.322038854,0.11,
1144,0.400690322,0.1,
1146,0.597090881,0.07,
1147,0.235018674,0.1,
1148,0.226665856,0.29,
1150,0.178280992,0.1,
1153,0.238800424,0.08,
1154,0.225200735,0.07,
1155,0.120918155,0.07,
1156,0.184987463,0.08,
1157,0.097002067,0.08,
1160,0.16401168,0.08,
1161,1.396706851,0.08,
1162,0.223038316,0.08,
1163,0.333353139,0.08,
1164,0.146789662,0.03,
1165,0.389160501,0.07,
1167,0.124784762,0.08,
1168,0.086163771,0.08,
1169,0.215506357,0.08,
1170,0.186263706,0.08,
1171,0.499296282,0.1,
1172,0.283343206,0.08,
1174,0.218359456,0.09,
1175,0.40427521,0.1,
1176,0.142037221,0.09,
1177,0.029680176,0.09,
1178,0.146576908,0.09,
