ID,Smape,cpuTime,
1000,0.334779292,0.03,
1001,0.005429893,0.11,
1002,0.507726666,0.09,
1003,0.189189324,0.09,
1004,0.236894173,0.08,
1005,0.164732209,0.1,
1006,0.210689612,0.08,
1007,0.21244782,0.08,
1008,0.173623112,0.09,
1009,0.128603909,0.1,
1010,0.298365004,0.1,
1011,0.174141485,0.09,
1013,0.272877582,0.1,
1014,0.255687301,0.09,
1015,0.127873494,0.09,
1016,0.370902452,0.11,
1017,0.240187398,0.1,
1018,0.139780729,0.09,
1019,0.316269138,0.11,
1020,0.235095466,0.1,
1021,0.551657816,0.09,
1022,0.173093806,0.11,
1023,0.331470047,0.09,
1024,0.287159639,0.09,
1025,0.305425565,0.09,
1026,0.37756214,0.09,
1027,0.258531876,0.1,
1028,0.192665745,0.09,
1029,0.192894625,0.09,
1030,0.338847616,0.09,
1031,0.104553165,0.08,
1032,0.155511221,0.09,
1033,0.1420457,0.1,
1034,0.2377835,0.1,
1035,0.169713976,0.09,
1036,0.185421459,0.09,
1037,0.233787579,0.1,
1039,0.191256197,0.09,
1041,0.507699117,0.11,
1042,0.372785645,0.09,
1043,0.242803002,0.09,
1044,0.155535519,0.11,
1045,0.544454192,0.11,
1046,0.098534704,0.09,
1047,0.321879251,0.09,
1049,0.194842392,0.09,
1050,0.34823188,0.11,
1051,0.166623124,0.11,
1052,0.240228672,0.03,
1053,0.357224284,0.1,
1054,0.251134106,0.09,
1055,0.204587957,0.11,
1056,0.376516009,0.1,
1057,0.271781395,0.07,
1058,0.211432001,0.09,
1059,0.078805628,0.08,
1060,0.443516423,0.1,
1061,0.192983294,0.11,
1062,0.061696268,0.09,
1063,0.211337401,0.1,
1064,0.042758445,0.1,
1065,0.466590766,0.09,
1067,0.386141047,0.09,
1069,0.129719352,0.09,
1071,0.153962666,0.09,
1072,0.121870136,0.11,
1073,0.196520111,0.1,
1074,0.284340391,0.1,
1075,0.194233468,0.11,
1076,0.184255196,0.08,
1077,0.108541804,0.1,
1079,0.205258408,0.08,
1081,0.517748113,0.09,
1082,0.110644376,0.09,
1083,0.232367861,0.1,
1084,0.336898363,0.1,
1085,0.300081581,0.09,
1086,0.209517935,0.09,
1087,0.147473693,0.08,
1088,0.419064901,0.09,
1090,0.069411834,0.09,
1091,0.266191278,0.1,
1092,0.015864747,0.1,
1093,0.196609935,0.09,
1095,0.260879491,0.09,
1096,0.256039788,0.1,
1097,0.142320179,0.09,
1098,0.41448114,0.11,
1099,0.206280705,0.11,
1100,0.173552902,0.09,
1101,0.015962193,0.09,
1102,0.131560155,0.11,
1104,0.291434607,0.1,
1105,0.130019442,0.1,
1107,0.493949523,0.09,
1108,0.167608343,0.09,
1109,0.281469528,0.1,
1110,0.23512147,0.08,
1111,0.124972087,0.08,
1112,0.489986645,0.09,
1113,0.451817079,0.1,
1115,0.45725938,0.09,
1116,0.417112318,0.1,
1117,0.208843285,0.09,
1118,0.25744905,0.09,
1119,0.162454782,0.09,
1120,0.606715131,0.11,
1121,0.19539761,0.09,
1122,0.110307923,0.11,
1123,0.192014697,0.09,
1124,0.404865944,0.09,
1126,0.172578917,0.1,
1127,0.117190961,0.09,
1128,0.190943525,0.1,
1130,0.181741125,0.09,
1132,0.191713973,0.1,
1133,0.273685377,0.08,
1136,0.215962705,0.09,
1137,0.298994265,0.09,
1138,0.12520696,0.09,
1139,0.195222675,0.08,
1140,0.410464136,0.1,
1141,0.123252096,0.1,
1142,0.552383471,0.09,
1143,0.427157232,0.09,
1144,0.392461186,0.08,
1146,0.535624522,0.1,
1147,0.24575416,0.09,
1148,0.196117744,0.1,
1150,0.178857915,0.11,
1153,0.240772823,0.1,
1154,0.283963819,0.09,
1155,0.092749077,0.09,
1156,0.181881087,0.09,
1157,0.094569415,0.11,
1160,0.156768084,0.11,
1161,0.077708671,0.1,
1162,0.162750492,0.09,
1163,0.307002274,0.08,
1164,0.154210125,0.1,
1165,0.407800478,0.08,
1167,0.133845888,0.09,
1168,0.088960572,0.09,
1169,0.21569778,0.11,
1170,0.147535505,0.1,
1171,0.421404116,0.1,
1172,0.34618441,0.09,
1174,0.226086429,0.09,
1175,0.350394877,0.08,
1176,0.138328372,0.09,
1177,0.034305556,0.08,
1178,0.136569292,0.09,
1180,0.257318316,0.09,
1181,0.347291976,0.09,
1182,0.08923624,0.09,
1183,0.252513299,0.09,
1184,0.463959698,0.09,
1185,0.256766931,0.09,
1186,0.145997775,0.19,
1188,0.293123491,0.1,
1189,0.14711484,0.1,
1191,0.546992756,0.09,
1195,NA,0.09,
1196,0.296309401,0.08,
1197,0.128297613,0.09,
1198,0.30896373,0.1,
1199,0.111365547,0.09,
1200,0.193229865,0.09,
1201,0.343938662,0.11,
1202,0.087527132,0.09,
1203,0.331390516,0.1,
1204,0.39746335,0.09,
1205,0.285632965,0.09,
1207,0.264806835,0.07,
1208,0.384442657,0.11,
1209,0.213588813,0.1,
1210,0.223255384,0.09,
1212,0.349598662,0.1,
1214,0.369699192,0.09,
1215,0.140142406,0.1,
1216,0.410320504,0.09,
1217,0.120778125,0.09,
1218,0.149717405,0.09,
1219,0.438437986,0.1,
1220,0.428547583,0.11,
1222,0.199535374,0.1,
1223,0.344847721,0.1,
