ID,Smape,cpuTime,
1000,0.335484722,0.03,
1001,0.004523063,0.16,
1002,0.491073422,0.11,
1003,0.163660006,0.09,
1004,0.232305427,0.11,
1005,0.180306234,0.1,
1006,0.184461894,0.09,
1007,0.215160341,0.09,
1008,0.171299446,0.11,
1009,0.119688475,0.09,
1010,0.318094114,0.11,
1011,0.172916032,0.1,
1013,0.2801749,0.09,
1014,0.253773148,0.09,
1015,0.122712415,0.1,
1016,0.367959325,0.09,
1017,0.241008936,0.09,
1018,0.138657434,0.09,
1019,0.339157819,0.1,
1020,0.238040209,0.1,
1021,0.580286963,0.1,
1022,0.169463927,0.09,
1023,0.329404725,0.1,
1024,0.293751016,0.09,
1025,0.305916912,0.09,
1026,0.391734673,0.11,
1027,0.263433728,0.09,
1028,0.201187229,0.1,
1029,0.196710665,0.09,
1030,0.337330184,0.09,
1031,0.105513687,0.09,
1032,0.15009931,0.09,
1033,0.150770857,0.09,
1034,0.241880377,0.1,
1035,0.178212736,0.12,
1036,0.194346824,0.07,
1037,0.233413058,0.09,
1039,0.175670683,0.1,
1041,0.508856629,0.09,
1042,0.375589506,0.1,
1043,0.22752646,0.1,
1044,0.158647233,0.1,
1045,0.577811042,0.11,
1046,0.09940563,0.11,
1047,0.320823746,0.11,
1049,0.158245202,0.11,
1050,0.339536432,0.1,
1051,0.174931406,0.09,
1052,0.238481613,0.1,
1053,0.308988417,0.11,
1054,0.253358837,0.09,
1055,0.211774709,0.1,
1056,0.428679218,0.09,
1057,0.273003988,0.09,
1058,0.22397648,0.09,
1059,0.078944958,0.08,
1060,0.442688146,0.09,
1061,0.188486345,0.09,
1062,0.063840309,0.1,
1063,0.214290129,0.1,
1064,0.042362327,0.08,
1065,0.466240023,0.1,
1067,0.388676173,0.09,
1069,0.127803578,0.09,
1071,0.162474669,0.1,
1072,0.119219423,0.1,
1073,0.2015099,0.1,
1074,0.277688679,0.11,
1075,0.198847863,0.1,
1076,0.191026714,0.1,
1077,0.109510058,0.09,
1079,0.196820783,0.1,
1081,0.515402632,0.09,
1082,0.111655612,0.09,
1083,0.235011176,0.09,
1084,0.340764852,0.09,
1085,0.305013366,0.09,
1086,0.230477838,0.11,
1087,0.14917934,0.09,
1088,0.417485608,0.11,
1090,0.067244745,0.1,
1091,0.273287993,0.09,
1092,0.018334328,0.04,
1093,0.203085838,0.11,
1095,0.303055284,0.09,
1096,0.274574192,0.11,
1097,0.145653974,0.1,
1098,0.412057954,0.1,
1099,0.196996439,0.1,
1100,0.182404335,0.09,
1101,0.015907414,0.09,
1102,0.127608284,0.1,
1104,0.296000001,0.09,
1105,0.13827713,0.08,
1107,0.496765313,0.09,
1108,0.1728041,0.09,
1109,0.274245249,0.09,
1110,0.239634518,0.11,
1111,0.131569475,0.1,
1112,0.483573566,0.1,
1113,0.452585544,0.09,
1115,0.454377123,0.09,
1116,0.438823131,0.1,
1117,0.211093201,0.08,
1118,0.258566906,0.09,
1119,0.183520983,0.09,
1120,0.615048549,0.09,
1121,0.201102593,0.11,
1122,0.101044865,0.09,
1123,0.19506449,0.09,
1124,0.40542105,0.08,
1126,0.17491275,0.08,
1127,0.137613105,0.09,
1128,0.168346204,0.09,
1130,0.172741838,0.08,
1132,0.185864178,0.1,
1133,0.27267731,0.07,
1136,0.215395385,0.1,
1137,0.332948679,0.09,
1138,0.138764022,0.09,
1139,0.2097435,0.09,
1140,0.402866823,0.1,
1141,0.118722979,0.09,
1142,0.553598827,0.09,
1143,0.43852417,0.11,
1144,0.397186411,0.1,
1146,0.635817796,0.1,
1147,0.24524152,0.1,
1148,0.225407692,0.1,
1150,0.179898546,0.09,
1153,0.234855656,0.11,
1154,0.283051141,0.09,
1155,0.102842737,0.1,
1156,0.179110502,0.11,
1157,0.096383747,0.09,
1160,0.143070043,0.1,
1161,0.079455054,0.09,
1162,0.165115293,0.09,
1163,0.283272177,0.09,
1164,0.153954795,0.09,
1165,0.414940065,0.09,
1167,0.129477681,0.07,
1168,0.082516043,0.11,
1169,0.228228171,0.09,
1170,0.153614108,0.08,
1171,0.423844586,0.1,
1172,0.392948093,0.09,
1174,0.227706028,0.1,
1175,0.364067976,0.09,
1176,0.145506412,0.09,
1177,0.035334745,0.09,
1178,0.121908879,0.09,
1180,0.280219003,0.1,
1181,0.346387432,0.09,
1182,0.089153694,0.1,
1183,0.258442348,0.1,
1184,0.476304906,0.08,
1185,0.26129418,0.11,
1186,0.128133231,0.09,
1188,0.288909556,0.08,
1189,0.144411573,0.09,
1191,0.580042394,0.09,
1195,NA,0.09,
1196,0.280501251,0.1,
1197,0.128975676,0.1,
1198,0.305480983,0.1,
1199,0.111644495,0.09,
1200,0.191362715,0.1,
1201,0.33895634,0.1,
1202,0.089511724,0.09,
1203,0.312798008,0.11,
1204,0.400996034,0.1,
1205,0.284150131,0.11,
1207,0.260343549,0.11,
1208,0.365987712,0.11,
1209,0.224713858,0.11,
1210,0.220927227,0.1,
1212,0.343607013,0.1,
1214,0.364815467,0.1,
1215,0.138498177,0.09,
1216,0.411420185,0.09,
1217,0.131456622,0.09,
1218,0.148101047,0.16,
1219,0.424172503,0.09,
1220,0.432112053,0.1,
1222,0.189944335,0.09,
1223,0.347866804,0.09,
1224,0.243218661,0.11,
1225,0.148048823,0.09,
1226,0.565536458,0.08,
1227,0.133551597,0.08,
1228,0.088420841,0.1,
1229,0.153607651,0.09,
1230,0.370285781,0.1,
1231,0.205958647,0.1,
1232,0.162285922,0.09,
1233,0.226168447,0.09,
1234,0.155361542,0.09,
1235,0.287767498,0.07,
1236,0.224588638,0.09,
1238,0.165926029,0.09,
1239,0.204693649,0.09,
1241,0.172457996,0.09,
1242,0.53953236,0.1,
1243,0.456223341,0.1,
1247,0.316570246,0.11,
1248,0.248195912,0.09,
1249,NA,0.09,
1251,0.175250824,0.11,
1252,0.330395926,0.09,
1254,0.166536367,0.11,
1255,0.361073858,0.11,
1257,0.25106474,0.09,
1258,0.096079804,0.1,
1259,0.038091572,0.13,
1260,0.081140906,0.1,
1262,0.330750133,0.09,
1263,0.159626416,0.09,
1264,0.328484668,0.09,
1265,0.257221861,0.14,
1267,0.223668854,0.1,
1268,0.218134115,0.09,
1269,0.202586799,0.09,
1270,0.257484686,0.09,
1271,0.249544337,0.09,
1273,0.182236325,0.09,
1274,0.380943331,0.1,
1276,0.123979734,0.1,
1277,0.008323134,0.09,
1278,0.228143975,0.1,
1280,0.455235437,0.09,
1281,0.249380349,0.09,
1283,0.338006209,0.1,
1284,0.073130942,0.09,
1285,0.282032974,0.09,
1286,0.208900028,0.07,
1287,0.141188075,0.09,
1288,0.5150073,0.08,
1290,0.337998582,0.09,
1292,0.137323114,0.09,
1293,0.164342265,0.09,
1296,0.312110994,0.11,
1297,0.61525789,0.1,
1299,0.146637326,0.09,
1300,0.173059747,0.1,
1301,0.151867211,0.1,
1302,0.116876947,0.09,
1303,0.187101759,0.11,
1304,0.264244004,0.11,
1305,0.416138807,0.1,
1307,0.251655888,0.11,
1308,0.131042663,0.1,
1309,0.295153457,0.09,
1311,0.247178822,0.11,
1312,0.081668657,0.11,
1314,0.231437427,0.03,
1315,0.596662802,0.09,
