ID,Smape,cpuTime,
1000,0.334817166,0.07,
1001,0.013386396,0.5,
1002,0.509163033,0.11,
1003,0.184962138,0.21,
1004,0.236217218,0.15,
1005,0.167444289,0.1,
1006,0.202767334,0.12,
1007,0.214487241,0.13,
1008,0.173014145,0.13,
1009,0.130940219,0.14,
1010,0.297771981,0.13,
1011,0.180580042,0.17,
1013,0.275166849,0.09,
1014,0.256010718,0.11,
1015,0.126424065,0.16,
1016,0.374831771,0.08,
1017,0.242117448,0.09,
1018,0.140966751,0.15,
1019,0.316235636,0.11,
1020,0.23660951,0.12,
1021,0.550837503,0.09,
1022,0.171320454,0.09,
1023,0.328815794,0.13,
1024,0.286885849,0.1,
1025,0.303823322,0.11,
1026,0.377374613,0.09,
1027,0.258881518,0.09,
1028,0.188421141,0.17,
1029,0.191175436,0.13,
1030,0.341727687,0.08,
1031,0.099888997,0.14,
1032,0.154179832,0.09,
1033,0.148275049,0.12,
1034,0.241243411,0.11,
1035,0.166981372,0.39,
1036,0.186981216,0.09,
1037,0.238482605,0.14,
1039,0.190293755,0.13,
1041,0.508896894,0.08,
1042,0.373074014,0.11,
1043,0.241303489,0.14,
1044,0.157566911,0.13,
1045,0.532960215,0.11,
1046,0.099336041,0.13,
1047,0.321772707,0.11,
1049,0.21317594,0.17,
1050,0.351889194,0.13,
1051,0.166887243,0.11,
1052,0.239745035,0.11,
1053,0.362673207,0.13,
1054,0.253915005,0.08,
1055,0.207083282,0.1,
1056,0.368582716,0.16,
1057,0.273059121,0.11,
1058,0.210776898,0.09,
1059,0.078803882,0.16,
1060,0.445625737,0.1,
1061,0.187904034,0.21,
1062,0.062511346,0.11,
1063,0.215828,0.1,
1064,0.042509941,0.14,
1065,0.46608573,0.1,
1067,0.385794211,0.11,
1069,0.143466145,0.08,
1071,0.15702526,0.22,
1072,0.126142384,0.1,
1073,0.196994961,0.1,
1074,0.281398518,0.13,
1075,0.196206195,0.09,
1076,0.185367066,0.13,
1077,0.111005246,0.14,
1079,0.202612876,0.13,
1081,0.519237731,0.09,
1082,0.117380777,0.11,
1083,0.231490914,0.11,
1084,0.343469053,0.1,
1085,0.301467422,0.13,
1086,0.294960556,0.11,
1087,0.148212473,0.11,
1088,0.417983448,0.1,
1090,0.068671942,0.35,
1091,0.268046509,0.09,
1092,0.042494288,0.16,
1093,0.196615304,0.09,
1095,0.26571547,0.12,
1096,0.257150062,0.11,
1097,0.141616829,0.11,
1098,0.414669199,0.08,
1099,0.209493928,0.12,
1100,0.171965749,0.09,
1101,0.211454255,0.11,
1102,0.13023353,0.1,
1104,0.286972018,0.11,
1105,0.13128061,0.11,
1107,0.494728747,0.1,
1108,0.166909328,0.11,
1109,0.280072985,0.11,
1110,0.236623031,0.11,
1111,0.128147509,0.1,
1112,0.488491049,0.11,
1113,0.439581373,0.08,
1115,0.462561014,0.1,
1116,0.320950318,0.28,
1117,0.209936366,0.12,
1118,0.258649665,0.11,
1119,0.161306214,0.11,
1120,0.607618441,0.1,
1121,0.199907227,0.11,
1122,0.107162065,0.11,
1123,0.196297982,0.13,
1124,0.411237321,0.1,
1126,0.172724873,0.12,
1127,0.165537576,0.09,
1128,0.190444142,0.14,
1130,0.181826483,0.1,
1132,0.191004899,0.11,
1133,0.274917555,0.09,
1136,0.21877368,0.11,
1137,0.297502275,0.14,
1138,0.124357316,0.15,
1139,0.199251478,0.11,
1140,0.409686052,0.09,
1141,0.122326586,0.11,
1142,0.552039773,0.11,
1143,0.429104017,0.11,
1144,0.394353303,0.07,
1146,0.45668023,0.18,
1147,0.245329768,0.17,
1148,0.195173063,0.11,
1150,0.181244521,0.1,
1153,0.241997689,0.11,
1154,0.282024676,0.11,
1155,0.094137936,0.13,
1156,0.183339064,0.09,
1157,0.096017091,0.15,
1160,0.157272004,0.16,
1161,0.112760942,0.08,
1162,0.163706806,0.09,
1163,0.312844993,0.14,
1164,0.154265475,0.09,
1165,0.408864521,0.11,
1167,0.133834829,0.09,
1168,0.088071533,0.12,
1169,0.214787599,0.09,
1170,0.148468649,0.11,
1171,0.422368481,0.13,
1172,0.34678186,0.14,
1174,0.226726166,0.11,
1175,0.355501033,0.1,
1176,0.143675078,0.13,
1177,0.032978527,0.36,
1178,0.135697781,0.1,
1180,0.254604418,0.11,
1181,0.352940165,0.13,
1182,0.089894016,0.13,
1183,0.253380762,0.11,
1184,0.465574153,0.08,
1185,0.261261168,0.09,
1186,0.141569165,0.11,
1188,0.296279892,0.11,
1189,0.151864969,0.12,
1191,0.566650487,0.16,
1195,NA,0.11,
1196,0.294580283,0.13,
1197,0.126656087,0.11,
1198,0.309056553,0.09,
1199,0.10852226,0.14,
1200,0.196443358,0.17,
1201,0.342246275,0.1,
1202,0.089937365,0.14,
1203,0.331518458,0.12,
1204,0.408326146,0.08,
1205,0.287754606,0.11,
1207,0.267251704,0.09,
1208,0.372977198,0.09,
1209,0.217805036,0.1,
1210,0.22267415,0.11,
1212,0.349482134,0.09,
1214,0.371141412,0.09,
1215,0.139175289,0.11,
1216,0.410944711,0.11,
1217,0.122785615,0.11,
1218,0.148667846,0.17,
1219,0.440610332,0.1,
1220,0.441671009,0.08,
1222,0.193882118,0.14,
1223,0.343671071,0.11,
1224,0.227669626,0.1,
1225,0.15172353,0.17,
1226,0.574241399,0.09,
1227,0.136073523,0.14,
1228,0.07365313,0.35,
1229,0.152895112,0.14,
1230,0.350390616,0.11,
1231,0.188643192,0.11,
1232,0.165232966,0.12,
1233,0.220914094,0.08,
1234,0.171968631,0.09,
1235,0.279745747,0.09,
1236,0.217620479,0.13,
1238,0.159936325,0.14,
1239,0.205964316,0.12,
1241,0.171819335,0.11,
1242,0.615619573,0.13,
1243,0.461891808,0.11,
1247,0.325648633,0.09,
1248,0.253386708,0.11,
1249,NA,0.14,
1251,0.173712444,0.09,
1252,0.352911362,0.13,
1255,0.364371303,0.03,
1257,0.236944951,0.09,
1258,0.0908588,0.2,
1259,0.047805867,0.08,
1260,0.081684424,0.19,
1262,0.310246317,0.11,
1263,0.152583954,0.11,
1264,0.323684735,0.11,
1265,0.28159267,0.11,
1267,0.226577941,0.13,
1268,0.229363167,0.12,
1269,0.199677781,0.13,
1270,0.248966607,0.1,
1271,0.258525793,0.14,
1273,0.180865603,0.08,
1274,0.389937275,0.09,
1276,0.121223188,0.11,
1277,0.043293889,0.11,
1278,0.229316876,0.14,
1280,0.434326828,0.16,
1281,0.234713896,0.07,
1283,0.347287487,0.09,
1284,0.068677168,0.14,
1285,0.277667206,0.11,
1286,0.211559266,0.16,
1287,0.146401972,0.13,
1288,0.453302217,0.11,
1290,0.334355191,0.07,
1292,0.144032065,0.09,
1293,0.168976106,0.17,
1296,0.304005317,0.11,
1297,0.596537174,0.12,
1299,0.155679231,0.09,
1300,0.191522512,0.1,
1301,0.183553653,0.14,
1302,0.114439714,0.12,
1303,0.182207473,0.1,
1304,0.271942689,0.11,
1305,0.420314793,0.09,
1307,0.197416917,0.12,
1308,0.138521417,0.13,
1309,0.296671838,0.12,
1311,0.247679664,0.11,
1312,0.109967549,0.11,
1314,0.215868377,0.1,
1315,0.615946132,0.1,
1316,0.365903764,0.1,
1317,0.149921509,0.09,
1318,0.335445534,0.1,
1319,0.081983637,0.18,
1321,0.140931819,0.11,
1322,0.054611707,0.23,
1324,0.220010787,0.11,
1326,0.221216135,0.16,
1327,0.21695391,0.11,
1328,0.147713521,0.11,
1329,0.313476123,0.07,
1330,0.362338168,0.12,
1331,0.196635938,0.09,
1332,0.192074527,0.14,
1333,0.024274987,0.89,
1334,0.127791018,0.13,
1335,NA,0.08,
1336,0.20715313,0.13,
1337,0.173075125,0.08,
1338,0.164044718,0.12,
1339,0.201147817,0.11,
1341,0.113948952,0.12,
1342,0.280970155,0.09,
1343,0.229451993,0.14,
1345,0.371368218,0.11,
1346,0.14986533,0.09,
1347,0.220696066,0.11,
1349,0.224805428,0.09,
1350,0.181526151,0.13,
1352,0.182315599,0.16,
1353,0.219967073,0.15,
1354,0.212577559,0.09,
1355,0.173479863,0.11,
1356,0.784290885,0.08,
1359,0.366397362,0.09,
1360,0.215867338,0.12,
1361,0.237104105,0.11,
1362,0.174002676,0.09,
1363,0.085650154,0.13,
1364,0.343242691,0.11,
1365,0.339184893,0.09,
1366,0.559313512,0.14,
1367,0.318273714,0.11,
1369,NA,0.1,
1370,0.125688657,0.22,
1371,0.505063364,0.09,
1372,0.517661732,0.08,
1373,0.274458788,0.11,
1374,0.414034043,0.11,
1375,0.131770891,0.09,
1376,0.413313223,0.11,
1377,0.111490342,0.14,
1378,0.264407304,0.15,
1380,0.133629934,0.14,
1381,0.128425048,0.11,
1382,0.234202269,0.11,
1383,0.113625871,0.16,
1385,0.117113073,0.13,
1386,0.177311049,0.27,
1387,0.314412164,0.08,
1388,0.277330163,0.11,
1389,0.245916396,0.1,
1390,0.195258783,0.11,
1391,0.12579096,0.13,
1393,0.081929793,0.1,
1395,0.120486248,0.16,
1397,0.136664426,0.09,
1398,0.18721053,0.13,
1400,0.37944085,0.09,
1401,0.400965783,0.11,
1402,0.166004586,0.09,
1404,0.37842524,0.09,
1405,0.193939047,0.13,
1406,0.148958069,0.1,
1407,0.148542989,0.13,
1409,0.116421947,0.12,
1410,0.130413167,0.11,
1411,0.030876321,0.97,
1412,0.132353484,0.14,
1413,0.438264877,0.1,
1414,0.209835223,0.18,
1415,0.551768021,0.1,
1416,0.16205597,0.1,
1417,0.13226722,0.18,
1418,0.142835984,0.12,
1421,0.267699204,0.11,
1422,0.299912884,0.09,
1423,0.180208158,0.1,
1424,0.036740758,0.51,
1425,0.075150647,0.14,
1426,0.352150687,0.09,
1427,0.169603341,0.17,
1428,0.331974658,0.11,
1429,0.329501837,0.09,
1430,0.194225864,0.11,
1431,0.189608809,0.09,
1432,0.315474287,0.11,
1433,0.285844337,0.11,
1435,0.307067463,0.11,
1437,0.24226964,0.11,
1438,0.118706212,0.14,
1439,0.066853222,0.21,
1440,0.17745644,0.13,
1441,0.265444488,0.1,
1442,0.112290433,0.13,
1443,0.731155025,0.09,
1444,0.174468334,0.11,
