ID,Smape,cpuTime
1000,0.334817314,0.05
1001,0.013386514,0.15
1002,0.509162729,0.09
1003,0.184961917,0.11
1004,0.236217264,0.08
1005,0.167444364,0.07
1006,0.202767583,0.09
1007,0.21448724,0.12
1008,0.173014143,0.11
1009,0.130940283,0.14
1010,0.297772045,0.08
1011,0.180579996,0.11
1013,0.275166902,0.07
1014,0.256010768,0.1
1015,0.12642393,0.08
1016,0.374831781,0.08
1017,0.242117224,0.16
1018,0.140966784,0.11
1019,0.316235564,0.04
1020,0.2366095,0.13
1021,0.550837252,0.08
1022,0.171320327,0.08
1023,0.328815798,0.08
1024,0.28688581,0.08
1025,0.303821598,0.09
1026,0.377374613,0.14
1027,0.258881122,0.13
1028,0.18842114,0.08
1029,0.19117482,0.09
1030,0.341727884,0.08
1031,0.099888988,0.12
1032,0.154179777,0.1
1033,0.148275048,0.08
1034,0.241243391,0.11
1035,0.166981321,0.06
1036,0.186981164,0.15
1037,0.238483427,0.08
1039,0.190293752,0.15
1041,0.508897072,0.1
1042,0.37307399,0.14
1043,0.241303631,0.17
1044,0.157566901,0.07
1045,0.532960343,0.08
1046,0.099336081,0.07
1047,0.321772911,0.13
1049,0.213176184,0.14
1050,0.351889204,0.12
1051,0.166887297,0.22
1052,0.239745066,0.24
1053,0.362673198,0.07
1054,0.253914813,0.06
1055,0.207083292,0.08
1056,0.368582705,0.1
1057,0.27305917,0.07
1058,0.210776767,0.19
1059,0.078803886,0.08
1060,0.445625802,0.11
1061,0.187904655,0.17
1062,0.062511221,0.24
1063,0.21582797,0.07
1064,0.042509932,0.11
1065,0.466085664,0.17
1067,0.385794247,0.15
1069,0.143465715,0.12
1071,0.157025512,0.14
1072,0.126142471,0.14
1073,0.196994954,0.14
1074,0.281398496,0.16
1075,0.196206158,0.08
1076,0.185367085,0.16
1077,0.111004991,0.17
1079,0.202612894,0.14
1081,0.519238051,0.07
1082,0.117380664,0.07
1083,0.231490912,0.16
1084,0.343468618,0.17
1085,0.301467471,0.08
1086,0.294964524,0.11
1087,0.148212474,0.08
1088,0.417983437,0.08
1090,0.068671977,0.1
1091,0.268046493,0.14
1092,0.042494312,0.13
1093,0.196615629,0.11
1095,0.265714987,0.08
1096,0.257150108,0.08
1097,0.141616873,0.08
1098,0.414669292,0.08
1099,0.209494467,0.09
1100,0.171965768,0.1
1101,0.21145434,0.08
1102,0.130233612,0.08
1104,0.286972012,0.14
1105,0.131280619,0.09
1107,0.494728712,0.18
1108,0.166909342,0.14
1109,0.280072987,0.17
1110,0.236623177,0.17
1111,0.128147558,0.17
1112,0.488491029,0.14
1113,0.439581441,0.09
1115,0.462560666,0.14
1116,0.320950179,0.06
1117,0.209936506,0.18
1118,0.258649649,0.14
1119,0.161306202,0.07
1120,0.607617987,0.11
1121,0.199907255,0.06
1122,0.107161947,0.14
1123,0.196297953,0.13
1124,0.41123759,0.15
1126,0.172724818,0.07
1127,0.165537504,0.11
1128,0.190444224,0.17
1130,0.181826511,0.17
1132,0.191004866,0.17
1133,0.274917328,0.19
1136,0.21877389,0.15
1137,0.297502265,0.07
1138,0.124357338,0.09
1139,0.199251516,0.08
1140,0.409686088,0.19
1141,0.122326563,0.14
1142,0.552039766,0.1
1143,0.429103971,0.11
1144,0.39435332,0.06
1146,0.456680237,0.14
1147,0.245329772,0.11
1148,0.19517316,0.08
1150,0.181244563,0.07
1153,0.241997178,0.14
1154,0.282024678,0.11
1155,0.094137911,0.08
1156,0.183339033,0.08
1157,0.096017101,0.15
1160,0.157271996,0.1
1161,0.112760844,0.18
1162,0.163706923,0.18
1163,0.312845008,0.01
1164,0.154265474,0.08
1165,0.408864517,0.08
1167,0.133834825,0.08
1168,0.08807152,0.08
1169,0.2147876,0.1
1170,0.148468682,0.07
1171,0.422368473,0.08
1172,0.346781858,0.14
1174,0.22672628,0.17
1175,0.355501031,0.08
1176,0.143674962,0.08
1177,0.032978528,0.14
1178,0.135697724,0.08
1180,0.254604395,0.16
1181,0.352940171,0.08
1182,0.089894001,0.14
1183,0.253380693,0.08
1184,0.465574651,0.12
1185,0.261261235,0.11
1186,0.141569105,0.11
1188,0.296279904,0.13
1189,0.151864965,0.08
1191,0.566650489,0.11
1195,NA,0.09
1196,0.294580315,0.12
1197,0.126656213,0.14
1198,0.309056495,0.15
1199,0.108522415,0.17
1200,0.196443297,0.14
1201,0.342246279,0.14
1202,0.08993734,0.08
1203,0.331518455,0.08
1204,0.408325976,0.08
1205,0.287754657,0.07
1207,0.26725189,0.09
1208,0.372977102,0.06
1209,0.217805098,0.18
1210,0.222674254,0.14
1212,0.349482246,0.08
1214,0.371141735,0.14
1215,0.13917519,0.08
1216,0.410944615,0.14
1217,0.122785611,0.08
1218,0.148667981,0.14
1219,0.440610384,0.08
1220,0.441671041,0.22
1222,0.193882041,0.08
1223,0.343670762,0.07
1224,0.227669644,0.15
1225,0.151723533,0.19
1226,0.574241316,0.14
1227,0.136073518,0.06
1228,0.073653114,0.14
1229,0.152895078,0.07
1230,0.350391306,0.1
1231,0.188643288,0.12
1232,0.165232992,0.1
1233,0.220914079,0.08
1234,0.171968793,0.07
1235,0.279745614,0.08
1236,0.217620401,0.11
1238,0.1599363,0.08
1239,0.20596432,0.14
1241,0.171819042,0.09
1242,0.615619563,0.06
1243,0.461891905,0.18
1247,0.325648586,0.13
1248,0.253386723,0.08
1249,NA,0.14
1251,0.17371244,0.03
1252,0.352911317,0.14
1254,0.14744757,0.13
1255,0.36437113,0.16
1257,0.236944939,0.14
1258,0.090858797,0.14
1259,0.047805864,0.09
1260,0.081684445,0.08
1262,0.310246321,0.08
1263,0.152583945,0.09
1264,0.323684801,0.14
1265,0.28159269,0.11
1267,0.226577918,0.1
1268,0.229363511,0.06
1269,0.199677768,0.08
1270,0.248966629,0.17
1271,0.258525806,0.16
1273,0.180865588,0.08
1274,0.38993735,0.09
1276,0.121223173,0.08
1277,0.04329387,0.19
1278,0.22931686,0.09
1280,0.434326842,0.06
1281,0.234713887,0.07
1283,0.347287776,0.14
1284,0.068677183,0.07
1285,0.277667199,0.08
1286,0.211559186,0.17
1287,0.14640199,0.09
1288,0.453302204,0.08
1290,0.334355255,0.07
1292,0.14403211,0.08
1293,0.168976201,0.08
1296,0.304005342,0.09
1297,0.596536875,0.06
