ID,Smape,cpuTime,
1000,0.326351953,0.28,
1001,0.01258675,3.07,
1002,0.296374206,0.3,
1003,0.114997142,0.39,
1004,0.193083312,0.28,
1005,0.15042997,0.66,
1006,0.149386486,0.39,
1007,0.205121424,0.43,
1008,0.173014145,0.32,
1009,0.122173107,0.44,
1010,0.148774645,0.44,
1011,0.127994707,0.33,
1013,0.269128331,0.34,
1014,0.247081245,0.37,
1015,0.115482546,0.53,
1016,0.367974113,0.23,
1017,0.213167486,0.36,
1018,0.12436082,0.59,
1019,0.280964595,0.43,
1020,0.184789182,0.41,
1021,0.528027162,0.23,
1022,0.142835453,0.45,
1023,0.328815794,0.25,
1024,0.236241358,0.31,
1025,0.215516395,0.33,
1026,0.341744416,0.37,
1027,0.232135127,0.28,
1028,0.188421141,0.42,
1029,0.190790639,0.26,
1030,0.294060555,0.22,
1031,0.095723761,0.33,
1032,0.136224997,0.36,
1033,0.116511796,0.33,
1034,0.21977584,0.37,
1035,0.160819952,1.34,
1036,0.157259309,0.33,
1037,0.216779771,0.28,
1039,0.162386801,0.36,
1041,0.4768354,0.17,
1042,0.330972185,0.31,
1043,0.234428519,0.35,
1044,0.142058964,0.37,
1045,0.502396555,0.41,
1046,0.080574784,0.35,
1047,0.236649649,0.32,
1049,0.132033087,0.35,
1050,0.349515923,0.36,
1051,0.153301915,0.31,
1052,0.238178992,0.3,
1053,0.219056515,0.47,
1054,0.225215015,0.25,
1055,0.173174373,0.28,
1056,0.352128331,0.5,
1057,0.236081753,0.26,
1058,0.195252423,0.31,
1059,0.069681563,0.36,
1060,0.31605782,0.26,
1061,0.169572215,0.35,
1062,0.054898263,0.32,
1063,0.215828,0.19,
1064,0.037624575,0.39,
1065,0.362897536,0.3,
1067,0.355665077,0.28,
1069,0.143466145,0.11,
1071,0.124036246,0.36,
1072,0.115767843,0.36,
1073,0.185236924,0.2,
1074,0.184241697,0.36,
1075,0.156275429,0.33,
1076,0.156485095,0.28,
1077,0.072631087,0.31,
1079,0.202612876,0.25,
1081,0.503657075,0.23,
1082,0.106536775,0.37,
1083,0.213369705,0.31,
1084,0.329786757,0.33,
1085,0.264273216,0.28,
1086,0.13229255,0.25,
1087,0.146525585,0.26,
1088,0.365252329,0.36,
1090,0.062549844,0.67,
1091,0.262522753,0.36,
1092,0.036530891,0.47,
1093,0.148302371,0.28,
1095,0.204615544,0.36,
1096,0.2242941,0.35,
1097,0.128170315,0.32,
1098,0.407538107,0.19,
1099,0.12959937,0.26,
1100,0.150185086,0.42,
1101,0.125950723,0.3,
1102,0.112253901,0.3,
1104,0.286972018,0.26,
1105,0.121733423,0.41,
1107,0.488886902,0.3,
1108,0.144423955,0.28,
1109,0.235050876,0.36,
1110,0.23299819,0.34,
1111,0.128147509,0.17,
1112,0.484855983,0.18,
1113,0.425183951,0.18,
1115,0.302518132,0.34,
1116,0.241216603,0.78,
1117,0.176388215,0.37,
1118,0.249764734,0.28,
1119,0.156183892,0.36,
1120,0.601836314,0.18,
1121,0.148082544,0.35,
1122,0.102054825,0.34,
1123,0.179810836,0.36,
1124,0.387566682,0.21,
1126,0.168217138,0.46,
1127,0.108003446,0.22,
1128,0.144959012,0.42,
1130,0.157756932,0.3,
1132,0.179776124,0.25,
1133,0.247445405,0.3,
1136,0.176096869,0.33,
1137,0.297502275,0.33,
1138,0.109250602,0.33,
1139,0.178108061,0.28,
1140,0.331008534,0.3,
1141,0.12054309,0.35,
1142,0.528414587,0.22,
1143,0.406484414,0.32,
1144,0.369946393,0.28,
1146,0.45668023,0.37,
1147,0.245329768,0.53,
1148,0.154842137,0.39,
1150,0.160982818,0.27,
1153,0.154722837,0.38,
1154,0.241930894,0.28,
1155,0.076821458,0.28,
1156,0.163883833,0.26,
1157,0.096017091,0.2,
1160,0.141035227,0.29,
1161,0.112760942,0.13,
1162,0.131733409,0.32,
1163,0.275901256,0.46,
1164,0.144364565,0.28,
1165,0.408864521,0.18,
1167,0.121728141,0.33,
1168,0.081891649,0.25,
1169,0.21382125,0.29,
1170,0.13962481,0.36,
1171,0.340012441,0.31,
1172,0.34678186,0.26,
1174,0.195439242,0.36,
1175,0.339371124,0.31,
1176,0.131192624,0.36,
1177,0.031674055,1,
1178,0.088777725,0.28,
1180,0.221811364,0.39,
1181,0.337203288,0.35,
1182,0.085195579,0.31,
1183,0.223095554,0.33,
1184,0.43094279,0.17,
1185,0.23184931,0.26,
1186,0.103813948,0.35,
1188,0.223017872,0.36,
1189,0.139767585,0.33,
1191,0.468986456,0.29,
1195,NA,0.16,
1196,0.279454698,0.3,
1197,0.126656087,0.19,
1198,0.257535569,0.31,
1199,0.10852226,0.23,
1200,0.153242941,0.39,
1201,0.332746866,0.31,
1202,0.082996734,0.29,
1203,0.186817639,0.34,
1204,0.406944241,0.22,
1205,0.287754606,0.2,
1207,0.215996166,0.34,
1208,0.366949909,0.35,
1209,0.181374471,0.38,
1210,0.218542781,0.23,
1212,0.253843547,0.34,
1214,0.210876549,0.29,
1215,0.138946762,0.3,
1216,0.272787945,0.31,
1217,0.113881757,0.35,
1218,0.139176959,0.3,
1219,0.286817283,0.27,
1220,0.431778097,0.21,
1222,0.155490423,0.26,
1223,0.159595348,0.28,
1224,0.185070987,0.29,
1225,0.127935054,0.32,
1226,0.55598432,0.29,
1227,0.119607962,0.31,
1228,0.071358286,0.43,
1229,0.118001448,0.34,
1230,0.322614678,0.28,
1231,0.134682609,0.34,
1232,0.16460909,0.34,
1233,0.19111187,0.25,
