ID,Smape,cpuTime,
1000,0.334817285,0.03,
1001,0.013386091,0.58,
1002,0.509161374,0.11,
1003,0.184962462,0.18,
1004,0.236217278,0.16,
1005,0.167444317,0.14,
1006,0.202768338,0.15,
1007,0.21448739,0.13,
1008,0.173014127,0.12,
1009,0.13094015,0.21,
1010,0.297772243,0.16,
1011,0.18057994,0.14,
1013,0.27516659,0.11,
1014,0.256010744,0.14,
1015,0.126424315,0.15,
1016,0.374831684,0.11,
1017,0.242117058,0.14,
1018,0.14096672,0.18,
1019,0.316235671,0.14,
1020,0.23660964,0.12,
1021,0.55083771,0.09,
1022,0.171320545,0.11,
1023,0.328815792,0.14,
1024,0.286885395,0.15,
1025,0.303823209,0.13,
1026,0.377374582,0.11,
1027,0.258879564,0.11,
1028,0.188421141,0.21,
1029,0.191177824,0.14,
1030,0.341728266,0.1,
1031,0.09988892,0.18,
1032,0.154179891,0.12,
1033,0.148274817,0.15,
1034,0.241243473,0.13,
1035,0.166981392,0.54,
1036,0.186981289,0.12,
1037,0.238484403,0.19,
1039,0.190293675,0.14,
1041,0.508896844,0.08,
1042,0.373074016,0.12,
1043,0.241303445,0.14,
1044,0.157566928,0.14,
1045,0.532960399,0.14,
1046,0.099336124,0.12,
1047,0.321772818,0.13,
1049,0.213175277,0.24,
1050,0.351889188,0.15,
1051,0.166887406,0.12,
1052,0.23974501,0.11,
1053,0.362672698,0.17,
1054,0.253916068,0.11,
1055,0.207083305,0.11,
1056,0.368582715,0.23,
1057,0.273059255,0.14,
1058,0.210776841,0.11,
1059,0.078803882,0.22,
1060,0.445625528,0.13,
1061,0.187904663,0.25,
1062,0.062511082,0.13,
1063,0.215827966,0.12,
1064,0.042509968,0.23,
1065,0.466085617,0.11,
1067,0.385793986,0.11,
1069,0.143466737,0.07,
1071,0.15702506,0.25,
1072,0.126142268,0.12,
1073,0.196994988,0.13,
1074,0.281398845,0.1,
1075,0.196206861,0.12,
1076,0.18536724,0.13,
1077,0.111004991,0.14,
1079,0.202612802,0.16,
1081,0.519237667,0.12,
1082,0.117380576,0.14,
1083,0.231490798,0.12,
1084,0.343469135,0.06,
1085,0.301467516,0.13,
1086,0.294955234,0.12,
1087,0.148212504,0.11,
1088,0.4179835,0.13,
1090,0.068671959,0.37,
1091,0.268046566,0.16,
1092,0.042494282,0.18,
1093,0.196616385,0.12,
1095,0.265716838,0.13,
1096,0.257150128,0.14,
1097,0.141616907,0.19,
1098,0.414668945,0.09,
1099,0.209495241,0.14,
1100,0.171965707,0.16,
1101,0.211454176,0.11,
1102,0.13023356,0.1,
1104,0.286972016,0.14,
1105,0.131280597,0.12,
1107,0.49472867,0.11,
1108,0.166909289,0.12,
1109,0.280073005,0.14,
1110,0.236622832,0.12,
1111,0.128147651,0.13,
1112,0.488489367,0.09,
1113,0.439582291,0.08,
1115,0.462558327,0.14,
1116,0.3209504,0.51,
1117,0.209936708,0.16,
1118,0.2586496,0.1,
1119,0.161306266,0.15,
1120,0.607619175,0.08,
1121,0.199907508,0.11,
1122,0.107161875,0.14,
1123,0.196297464,0.14,
1124,0.41123801,0.1,
1126,0.172724681,0.11,
1127,0.165538421,0.11,
1128,0.190444022,0.17,
1130,0.181826608,0.11,
1132,0.191005119,0.11,
1133,0.274917253,0.11,
1136,0.218773491,0.1,
1137,0.297502282,0.24,
1138,0.124357369,0.18,
1139,0.199251531,0.14,
1140,0.409686102,0.13,
1141,0.12232649,0.16,
1142,0.55203978,0.11,
1143,0.429104049,0.14,
1144,0.394353363,0.12,
1146,0.45668023,0.24,
1147,0.245329755,0.27,
1148,0.195172971,0.14,
1150,0.181244556,0.13,
1153,0.241996323,0.14,
1154,0.282024651,0.11,
1155,0.094137979,0.14,
1156,0.183338962,0.11,
1157,0.096017113,0.17,
1160,0.15727196,0.17,
1161,0.112760804,0.07,
1162,0.163706637,0.13,
1163,0.31284498,0.18,
1164,0.154265396,0.12,
1165,0.408864711,0.14,
1167,0.133834815,0.12,
1168,0.088071468,0.19,
1169,0.214787616,0.13,
1170,0.148468657,0.17,
1171,0.422368481,0.14,
1172,0.34678186,0.15,
1174,0.226726437,0.13,
1175,0.355501046,0.11,
1176,0.143675035,0.14,
1177,0.032978526,0.51,
1178,0.135697489,0.13,
1180,0.254604381,0.17,
1181,0.352940166,0.17,
1182,0.08989406,0.17,
1183,0.253381016,0.11,
1184,0.46557425,0.11,
1185,0.261261307,0.11,
1186,0.14156903,0.15,
1188,0.296279845,0.13,
1189,0.151864976,0.14,
1191,0.566650311,0.17,
1195,NA,0.11,
1196,0.2945804,0.19,
1197,0.126655947,0.12,
1198,0.309056138,0.12,
1199,0.108522326,0.16,
1200,0.196443195,0.14,
1201,0.342246212,0.13,
1202,0.089937293,0.16,
1203,0.331518458,0.16,
1204,0.408326135,0.09,
1205,0.287754681,0.11,
